estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
SGDClassifier,0.727540500736377,0.7411861618619652,0.7553882996920972,0.011375623833782413,,100,l2,,0.1,modified_huber,,,,,
SGDClassifier,0.7369155617585486,0.7406879271600132,0.7446662078458361,0.003167536321375113,,400,l2,,0.5,modified_huber,,,,,
SGDClassifier,0.7336343115124153,0.7403203182923145,0.7462585034013606,0.00518086113503511,,100,l2,,0.2,modified_huber,,,,,
SGDClassifier,0.7349524815205913,0.739848698388858,0.7457264957264957,0.00445289948165953,,400,l2,,0.3,modified_huber,,,,,
SGDClassifier,0.7192008879023307,0.7397099531112975,0.7503607503607502,0.01450570789903282,,700,l2,,0.2,modified_huber,,,,,
SGDClassifier,0.7365335287651154,0.7388892422419411,0.7427001030573687,0.002719650707750302,,100,l2,,0.4,modified_huber,,,,,
RidgeClassifier,0.7299474605954466,0.7383922866843623,0.7460373370905248,0.006592964040741214,,,,,0.2,,,,,,
SVC,0.7226173541963016,0.7382711778782499,0.7495621716287214,0.011424579069557317,1,,,,,,linear,,,,
SGDClassifier,0.7268817204301075,0.7382268120742713,0.746328437917223,0.008263726280504318,,600,l2,,0.1,hinge,,,,,
SGDClassifier,0.7188638018936635,0.7376108594126706,0.7525335076822491,0.014009088753444175,,300,l2,,0.3,modified_huber,,,,,
SGDClassifier,0.708191770479426,0.7373275775465257,0.7572156196943974,0.021055091466025303,,700,l2,,0.3,modified_huber,,,,,
SGDClassifier,0.708433734939759,0.7372369409533359,0.7591781744695183,0.021276975595129404,,700,l2,,0.1,modified_huber,,,,,
SGDClassifier,0.7290049400141143,0.7371609732111389,0.7472451790633609,0.007570335416813997,,200,l2,,0.5,modified_huber,,,,,
SGDClassifier,0.7181952662721892,0.7363022184527258,0.7511430437622468,0.01364770307748433,,700,l2,,0.4,modified_huber,,,,,
SGDClassifier,0.7319085114360706,0.7360256307465328,0.7389162561576356,0.002989463383789778,,500,l2,,0.3,modified_huber,,,,,
SGDClassifier,0.7337723424270931,0.7358880335693142,0.7387676508344031,0.0021096546102676137,,400,l2,,0.1,perceptron,,,,,
SGDClassifier,0.7253741733379742,0.7355865626719683,0.7506561679790027,0.010877782357135598,,200,l2,,0.1,log,,,,,
LogisticRegression,0.7181467181467182,0.7352994079562326,0.744251857092324,0.012132670224615113,10,100,l1,liblinear,,,,,,,
LogisticRegression,0.7188487188487187,0.7352984666388412,0.7439886845827439,0.011637932143147988,10,400,l1,liblinear,,,,,,,
LogisticRegression,0.7183988764044944,0.7351485191574332,0.7439886845827439,0.011849878883968946,10,300,l1,liblinear,,,,,,,
LogisticRegression,0.7261692252766869,0.7350639635898375,0.7461212976022567,0.008287698218446543,0.1,100,l1,liblinear,,,,,,,
LogisticRegression,0.7261692252766869,0.7349762980631539,0.7458583010222065,0.008170839505788487,0.1,400,l1,liblinear,,,,,,,
LogisticRegression,0.7257142857142858,0.7349123170690369,0.7461212976022567,0.00845160619834018,0.1,200,l1,liblinear,,,,,,,
SGDClassifier,0.7319364161849711,0.7349083945591325,0.7381528882739536,0.0025451692499643412,,500,l2,,0.5,modified_huber,,,,,
LogisticRegression,0.7183988764044944,0.7348537736999319,0.7439886845827439,0.011658937100229631,10,200,l1,liblinear,,,,,,,
LogisticRegression,0.7252590210789567,0.7346728966639106,0.7458583010222065,0.00850240433411544,0.1,300,l1,liblinear,,,,,,,
SGDClassifier,0.7188281529117542,0.734645590797728,0.7500000000000001,0.012730064398755531,,100,l2,,0.5,modified_huber,,,,,
RidgeClassifier,0.7252362618130906,0.7338779412639753,0.7423550087873462,0.006989668437875796,,,,,0.1,,,,,,
LogisticRegression,0.7244604316546762,0.7338699873791801,0.7485008818342151,0.010485945985395019,0.1,200,l1,saga,,,,,,,
LogisticRegression,0.7247211227060093,0.7337213923127285,0.7475317348377998,0.00991408451200091,0.1,400,l1,saga,,,,,,,
LogisticRegression,0.7223816355810616,0.7335698689174842,0.7485008818342151,0.010986660258340523,0.1,100,l1,saga,,,,,,,
LogisticRegression,0.7242620590352772,0.7335683710891511,0.7475317348377998,0.010054370553959078,0.1,300,l1,saga,,,,,,,
SGDClassifier,0.7105263157894737,0.7333783931037935,0.7548262548262548,0.01811261099780932,,200,l2,,0.3,modified_huber,,,,,
