estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
LogisticRegression,0.7076811066618128,0.7217037248562347,0.7362135581313662,0.011653418114206044,0.01,200,l2,sag,,,,,,,
LogisticRegression,0.7076811066618128,0.7217037248562347,0.7362135581313662,0.011653418114206044,0.01,200,l2,saga,,,,,,,
LogisticRegression,0.7076811066618128,0.7217037248562347,0.7362135581313662,0.011653418114206044,0.01,300,l2,lbfgs,,,,,,,
LogisticRegression,0.7076811066618128,0.7217037248562347,0.7362135581313662,0.011653418114206044,0.01,300,l2,saga,,,,,,,
SGDClassifier,0.7010086455331414,0.7215054930663047,0.7345162370271174,0.01466790105306518,,700,l2,,0.3,modified_huber,,,,,
AdaBoostClassifier,0.7103399433427763,0.7210107803227691,0.7402460456942003,0.013628543935860504,,,,,,,,,,160,
SVC,0.7043478260869566,0.7197705021581219,0.7285714285714286,0.010941706318179825,0.1,,,,,,poly,,,,
SGDClassifier,0.7132763108962439,0.7172358716556744,0.7248563218390804,0.005389851382613204,,600,l2,,0.2,modified_huber,,,,,
AdaBoostClassifier,0.7062228654124457,0.7162877739616746,0.7359216509268974,0.013884723803952498,,,,,,,,,,110,
SGDClassifier,0.7123795404002965,0.7161031555796619,0.7186366932559826,0.002689510960787603,,400,l2,,0.1,modified_huber,,,,,
SGDClassifier,0.6889055472263867,0.7159034202117137,0.7317073170731708,0.019182921251303938,,700,l2,,0.1,perceptron,,,,,
SGDClassifier,0.6982469227900037,0.7142380529213925,0.7361495844875346,0.016029999080907492,,400,l2,,0.2,modified_huber,,,,,
SGDClassifier,0.6974104292302234,0.7140733560036416,0.7234636871508379,0.011814145403608898,,500,l2,,0.4,modified_huber,,,,,
SGDClassifier,0.7080476362324071,0.7134473759503009,0.7199162888036277,0.004903983201387335,,200,l2,,0.3,modified_huber,,,,,
SGDClassifier,0.6852772466539198,0.7131585896293654,0.7286012526096033,0.01975319287321109,,400,l2,,0.3,modified_huber,,,,,
SGDClassifier,0.7076041998090996,0.7128792077934928,0.7193951730154114,0.00489297070207292,,300,l2,,0.1,perceptron,,,,,
SGDClassifier,0.6911362748926201,0.71231711985183,0.7244746966558153,0.01503168026904045,,200,l2,,0.1,perceptron,,,,,
SGDClassifier,0.7111876075731498,0.7123077359132135,0.7130919220055709,0.0008129150261978033,,700,l2,,0.4,modified_huber,,,,,
LogisticRegression,0.7000362713093942,0.711822874381464,0.7271438695960312,0.011345319654087362,0.1,100,l1,saga,,,,,,,
LogisticRegression,0.7000362713093942,0.7116334211704703,0.7273371104815864,0.011517572214303055,0.1,300,l1,saga,,,,,,,
LogisticRegression,0.6995288147879666,0.7114984213458196,0.7276580713528789,0.01185976719286239,0.1,400,l1,liblinear,,,,,,,
LogisticRegression,0.6995288147879666,0.7114984213458196,0.7276580713528789,0.01185976719286239,0.1,200,l1,liblinear,,,,,,,
LogisticRegression,0.6995288147879666,0.7114984213458196,0.7276580713528789,0.01185976719286239,0.1,300,l1,liblinear,,,,,,,
LogisticRegression,0.7000362713093942,0.7114789484660028,0.7273371104815864,0.011574579467705825,0.1,400,l1,saga,,,,,,,
LogisticRegression,0.6995288147879666,0.7114143980174878,0.7276580713528789,0.011890009272545469,0.1,100,l1,liblinear,,,,,,,
LogisticRegression,0.7000362713093942,0.7113286753653393,0.7268862911795962,0.011368814516474205,0.1,200,l1,saga,,,,,,,
SGDClassifier,0.6830218068535825,0.7094036113960543,0.7305470608222902,0.01975251400776434,,200,l2,,0.2,modified_huber,,,,,
SGDClassifier,0.6951515151515152,0.7075494249070763,0.7320223070149692,0.01730544309635402,,600,l2,,0.4,perceptron,,,,,
SGDClassifier,0.692088382038489,0.7064918147486408,0.722689075630252,0.01255690982967233,,100,l2,,0.5,modified_huber,,,,,
SGDClassifier,0.691746641074856,0.7064649829821977,0.7227897146882705,0.012724084013687562,,100,l2,,0.3,modified_huber,,,,,
GradientBoostingClassifier,0.7006827164929932,0.7061941634257497,0.7110953562566465,0.0042727878692590815,,,,,,,,,,10,1.0
SGDClassifier,0.6922514619883041,0.7057409426161411,0.7179673321234119,0.010536382794411991,,600,l2,,0.4,modified_huber,,,,,
SGDClassifier,0.69438202247191,0.7055994617610244,0.7139945652173914,0.008251753062246462,,400,l2,,0.1,hinge,,,,,
SGDClassifier,0.6856031128404669,0.7053381138350862,0.7200287150035893,0.014499770073526074,,700,l2,,0.2,modified_huber,,,,,
SGDClassifier,0.6763935652824542,0.7053262746844758,0.7244475138121547,0.020808559200995613,,300,l2,,0.3,perceptron,,,,,
GradientBoostingClassifier,0.6976411722659043,0.7047904013008611,0.7134254339355296,0.006528983502633356,,,,,,,,,,10,0.8
SGDClassifier,0.701345943979629,0.7039566883992517,0.7074428887251291,0.0025648913024749137,,100,l2,,0.4,modified_huber,,,,,
SGDClassifier,0.6964285714285714,0.7027324175336701,0.7114825581395349,0.006384559319787317,,300,l2,,0.3,modified_huber,,,,,
GradientBoostingClassifier,0.6935138987883107,0.7027270090766592,0.7100719424460432,0.006887658827848427,,,,,,,,,,10,0.6
SGDClassifier,0.6883449031786628,0.7024243300057326,0.7143826322930801,0.010735151337039185,,400,l2,,0.7,modified_huber,,,,,
SGDClassifier,0.6745697896749522,0.7016724443281531,0.7172905525846703,0.019238624350513774,,300,l2,,0.5,modified_huber,,,,,
SGDClassifier,0.6791885800150264,0.7015543727495762,0.7187607573149742,0.016562083676408986,,700,l2,,0.5,modified_huber,,,,,
SGDClassifier,0.6664228237015363,0.7015069645481148,0.734308943089431,0.027761334021471223,,100,l2,,0.4,perceptron,,,,,
SGDClassifier,0.672093023255814,0.7014475167117705,0.7229681978798587,0.02149569428944516,,200,l2,,0.5,modified_huber,,,,,
SGDClassifier,0.6791237113402062,0.7012004384155729,0.7171824973319103,0.016124030363964974,,700,l2,,0.8,perceptron,,,,,
SGDClassifier,0.6893995552260934,0.7010781048966807,0.7122486288848264,0.00933500970669257,,300,l2,,0.4,modified_huber,,,,,
SGDClassifier,0.6838006230529595,0.701035482087069,0.7182320441988951,0.014056594905900619,,400,l2,,0.4,modified_huber,,,,,
SGDClassifier,0.6848691695108079,0.7006896068367969,0.7244793444861728,0.017124520453198216,,500,l2,,0.3,modified_huber,,,,,
SGDClassifier,0.6914033798677444,0.6999931117028808,0.7066528783178214,0.006373401763480278,,500,l2,,0.1,log,,,,,
AdaBoostClassifier,0.6870503597122302,0.6998165836795187,0.717895465559017,0.01314086220519777,,,,,,,,,,60,
SGDClassifier,0.6913935902052575,0.6994916902425015,0.7073773385104128,0.0065270669414042685,,500,l2,,0.1,hinge,,,,,
SGDClassifier,0.6948790896159317,0.6992990532832354,0.7063463607027609,0.005036650867323224,,200,l2,,0.4,modified_huber,,,,,
SGDClassifier,0.6845637583892618,0.699133651642224,0.7133757961783439,0.011764748043935274,,500,l2,,0.6,modified_huber,,,,,
